'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,proportion_ago_supported,proportion_aqua_supported,dt_tsl_risk,dt_lua_caqrisk,budget_supported,
2030,505650,911850,189025,585225,234050,0.7,0.5,0,0,14930,82752
2030,506925,912525,187525,587950,231750,0.8,0.5,0,0,15174,90816
2030,513625,908150,195100,580575,231000,0.1,0.6,0,0,14956,60124
2030,508575,909825,194775,580650,230900,0.2,0.6,0,0,15495,63382
2030,508525,908575,193600,578475,230725,0.3,0.6,0,0,15661,69142
2030,506750,911550,195750,579725,231300,0.4,0.6,0,0,15937,67392
2030,506075,915300,195550,577600,232050,0.5,0.6,0,0,16274,69696
2030,507250,913725,196200,578100,231225,0.6,0.6,0,0,16361,62208
2030,507175,914075,195900,576475,231225,0.7,0.6,0,0,16358,60864
2030,507675,905100,194350,579350,231575,0.8,0.6,0,0,16744,63744
2030,514500,903575,151725,620800,230750,0.1,0.1,0,0,4248,214492
2030,506700,911875,152250,623600,230925,0.2,0.1,0,0,4555,219330
2030,508450,911350,150800,623350,232250,0.3,0.1,0,0,4820,215062
2030,506075,912950,151225,624025,231075,0.4,0.1,0,0,5007,222336
2030,508975,913725,150650,624600,231175,0.5,0.1,0,0,5270,233664
2030,505650,910400,151125,623150,232425,0.6,0.1,0,0,5398,219456
2030,503200,913875,151375,619850,231125,0.7,0.1,0,0,5467,226368
2030,506225,912550,150175,622900,231175,0.8,0.1,0,0,5539,226752
2030,515875,897800,157275,615025,230600,0.1,0.2,0,0,6823,186526
2030,509650,910975,157075,617725,232400,0.2,0.2,0,0,7268,189378
2030,507500,911300,158150,616325,231325,0.3,0.2,0,0,7682,189334
2030,507450,911200,156625,618850,230750,0.4,0.2,0,0,7870,188928
2030,507050,914150,158000,617850,230475,0.5,0.2,0,0,7917,195648
2030,508525,905675,158625,614925,230275,0.6,0.2,0,0,8207,185280
2030,505700,912950,158175,617550,230775,0.7,0.2,0,0,8215,185088
2030,506100,903025,157275,616150,231800,0.8,0.2,0,0,8417,189888
2030,515950,906725,166400,607450,231975,0.1,0.3,0,0,9456,150622
2030,508825,912150,166100,610125,230650,0.2,0.3,0,0,9988,154286
2030,507075,899250,167050,600475,231825,0.3,0.3,0,0,10218,148416
2030,495150,914575,165050,607925,231625,0.4,0.3,0,0,10323,159744
2030,507875,913575,164475,610300,231550,0.5,0.3,0,0,10665,168576
2030,507950,913700,165700,608550,230575,0.6,0.3,0,0,10590,146112
2030,507100,913300,165350,607375,231075,0.7,0.3,0,0,10846,153408
2030,507525,903875,165075,607750,230250,0.8,0.3,0,0,10951,154752
2030,514500,905150,176675,597675,230800,0.1,0.4,0,0,11598,122502
2030,509575,908125,176575,597850,230350,0.2,0.4,0,0,12082,120236
2030,508300,912675,175025,599100,232550,0.3,0.4,0,0,12305,125376
2030,508400,911825,175875,599650,231350,0.4,0.4,0,0,12520,120000
2030,501900,914050,175925,598500,228250,0.5,0.4,0,0,12723,120192
2030,505875,912775,176775,597700,231075,0.6,0.4,0,0,12999,120576
2030,505875,914200,174650,596825,230675,0.7,0.4,0,0,13100,117696
2030,506475,910875,175875,599775,231850,0.8,0.4,0,0,13249,120960
2030,518950,899450,187050,586775,232250,0.1,0.5,0,0,13587,89292
2030,508550,900075,186775,586025,231200,0.2,0.5,0,0,13757,94146
2030,505600,891975,185225,589150,231575,0.3,0.5,0,0,14116,93312
2030,506500,908450,184550,590275,232775,0.4,0.5,0,0,14501,89088
2030,508650,910000,186825,584525,232075,0.5,0.5,0,0,14604,87744
2030,506275,913375,187375,585825,232675,0.6,0.5,0,0,14699,80256
2030,507100,914825,187450,584800,230750,0.7,0.5,0,0,15069,84096
2030,506075,912775,186075,588950,230850,0.8,0.5,0,0,14711,82176
2030,516875,903100,195225,580275,231175,0.1,0.6,0,0,15258,70388
2030,508550,911075,195000,579950,232275,0.2,0.6,0,0,15423,61528
2030,508025,913400,195975,578925,230825,0.3,0.6,0,0,16071,61056
2030,508375,911575,194500,579625,231375,0.4,0.6,0,0,16187,66432
2030,506500,896775,196175,577725,230725,0.5,0.6,0,0,16252,64128
2030,504775,915700,194925,579875,230300,0.6,0.6,0,0,16505,62976
2030,508275,912875,197025,578450,230850,0.7,0.6,0,0,16304,62592
2030,508200,894200,196525,577675,231200,0.8,0.6,0,0,16600,56640
