    1,TOT_SUBSIDENCE_2018_SINCE_2018_MKD_ONLY.IDF
    2,TOT_SUBSIDENCE_2020_SINCE_2018_MKD_ONLY.IDF
    3,TOT_SUBSIDENCE_2030_SINCE_2018_MKD_ONLY.IDF
    4,TOT_SUBSIDENCE_2040_SINCE_2018_MKD_ONLY.IDF
    5,TOT_SUBSIDENCE_2050_SINCE_2018_MKD_ONLY.IDF
    6,TOT_SUBSIDENCE_2060_SINCE_2018_MKD_ONLY.IDF
    7,TOT_SUBSIDENCE_2070_SINCE_2018_MKD_ONLY.IDF
    8,TOT_SUBSIDENCE_2080_SINCE_2018_MKD_ONLY.IDF
    9,TOT_SUBSIDENCE_2090_SINCE_2018_MKD_ONLY.IDF
   10,TOT_SUBSIDENCE_2100_SINCE_2018_MKD_ONLY.IDF
 File,     Population,           Mean,       Variance,           P( 0),           P( 5),           P(10),           P(15),           P(20),           P(25),           P(30),           P(35),           P(40),           P(45),           P(50),           P(55),           P(60),           P(65),           P(70),           P(75),           P(80),           P(85),           P(90),           P(95),          P(100)
    1,          38842,      0.0000000,      0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000
    2,          38842,      0.0164913,      0.0094735,       0.0009513,       0.0031516,       0.0055300,       0.0073169,       0.0087493,       0.0100300,       0.0107572,       0.0116351,       0.0127256,       0.0140076,       0.0153030,       0.0165062,       0.0177069,       0.0190363,       0.0202691,       0.0215610,       0.0230088,       0.0244396,       0.0278746,       0.0358715,       0.0738826
    3,          38842,      0.1069793,      0.0631294,       0.0053657,       0.0180768,       0.0332584,       0.0455388,       0.0547450,       0.0629062,       0.0677160,       0.0740673,       0.0817953,       0.0902358,       0.0987785,       0.1072033,       0.1155879,       0.1243243,       0.1324325,       0.1413497,       0.1513742,       0.1619833,       0.1849109,       0.2367458,       0.4409286
    4,          38842,      0.2090409,      0.1250058,       0.0093015,       0.0317946,       0.0610123,       0.0865367,       0.1047229,       0.1200656,       0.1299372,       0.1434037,       0.1594507,       0.1760815,       0.1928481,       0.2104661,       0.2276910,       0.2450637,       0.2606853,       0.2784286,       0.2988042,       0.3210844,       0.3647981,       0.4648326,       0.8364575
    5,          38842,      0.3191887,      0.1911492,       0.0128548,       0.0446432,       0.0890399,       0.1299932,       0.1581168,       0.1808207,       0.1969661,       0.2189423,       0.2443448,       0.2700372,       0.2957329,       0.3234038,       0.3509053,       0.3775305,       0.4009649,       0.4276512,       0.4598700,       0.4941060,       0.5578258,       0.7076962,       1.2351329
    6,          38842,      0.4341617,      0.2586828,       0.0160963,       0.0567331,       0.1168456,       0.1756677,       0.2150319,       0.2443217,       0.2682081,       0.2992799,       0.3345529,       0.3699923,       0.4055334,       0.4426997,       0.4813943,       0.5172735,       0.5492887,       0.5848159,       0.6283668,       0.6745385,       0.7567823,       0.9550022,       1.6135585
    7,          38842,      0.5515820,      0.3259337,       0.0190782,       0.0680038,       0.1449422,       0.2228264,       0.2740862,       0.3101291,       0.3420053,       0.3826764,       0.4285869,       0.4737309,       0.5192450,       0.5663829,       0.6162519,       0.6614364,       0.7025272,       0.7459736,       0.8009304,       0.8583432,       0.9572542,       1.2018914,       1.9883490
    8,          38842,      0.6698862,      0.3920167,       0.0218409,       0.0788870,       0.1729109,       0.2711523,       0.3339321,       0.3772854,       0.4174556,       0.4684681,       0.5249634,       0.5804622,       0.6352885,       0.6924216,       0.7531303,       0.8078773,       0.8580709,       0.9099735,       0.9743701,       1.0421693,       1.1567893,       1.4432958,       2.3557394
    9,          38842,      0.7880797,      0.4565910,       0.0244156,       0.0892858,       0.2006377,       0.3198058,       0.3943186,       0.4457222,       0.4936820,       0.5549654,       0.6224576,       0.6886495,       0.7519577,       0.8190838,       0.8907158,       0.9555447,       1.0142627,       1.0759165,       1.1476102,       1.2238756,       1.3554552,       1.6768963,       2.7198033
   10,          38842,      0.9055300,      0.5196118,       0.0268276,       0.0992740,       0.2289340,       0.3690654,       0.4542551,       0.5145800,       0.5704782,       0.6419820,       0.7206520,       0.7975363,       0.8699099,       0.9462956,       1.0274417,       1.1019111,       1.1695896,       1.2396193,       1.3217700,       1.4057817,       1.5496577,       1.9044780,       3.0795901
